filename,label
cropped_1012_sperm_morph_247_resized_lr.jpeg,N
cropped_1013_sperm_morph_247_resized_ud.jpeg,N
cropped_1014_sperm_morph_247_resized_lr_ud.jpeg,N
cropped_1039_sperm_morph_256_resized_lr.jpeg,N
cropped_1040_sperm_morph_256_resized_ud.jpeg,N
cropped_1041_sperm_morph_256_resized_lr_ud.jpeg,N
cropped_1045_sperm_morph_258_resized_lr.jpeg,N
cropped_1046_sperm_morph_258_resized_ud.jpeg,N
cropped_1047_sperm_morph_258_resized_lr_ud.jpeg,N
cropped_1048_sperm_morph_259_resized_lr.jpeg,N
cropped_1049_sperm_morph_259_resized_ud.jpeg,N
cropped_1050_sperm_morph_259_resized_lr_ud.jpeg,N
cropped_1054_sperm_morph_260_resized_lr.jpeg,N
cropped_1055_sperm_morph_260_resized_ud.jpeg,N
cropped_1056_sperm_morph_260_resized_lr_ud.jpeg,N
cropped_1063_sperm_morph_262_resized_lr.jpeg,N
cropped_1064_sperm_morph_262_resized_ud.jpeg,N
cropped_1065_sperm_morph_262_resized_lr_ud.jpeg,N
cropped_1075_sperm_morph_264_resized_lr.jpeg,N
cropped_1076_sperm_morph_264_resized_ud.jpeg,N
cropped_1077_sperm_morph_264_resized_lr_ud.jpeg,N
cropped_1084_sperm_morph_265_resized_lr.jpeg,N
cropped_1085_sperm_morph_265_resized_ud.jpeg,N
cropped_1086_sperm_morph_265_resized_lr_ud.jpeg,N
cropped_1087_sperm_morph_266_resized_lr.jpeg,N
cropped_1088_sperm_morph_266_resized_ud.jpeg,N
cropped_1089_sperm_morph_266_resized_lr_ud.jpeg,N
cropped_1108_sperm_morph_269_resized_lr.jpeg,N
cropped_1109_sperm_morph_269_resized_ud.jpeg,N
cropped_1110_sperm_morph_269_resized_lr_ud.jpeg,N
cropped_1111_sperm_morph_270_resized_lr.jpeg,N
cropped_1112_sperm_morph_270_resized_ud.jpeg,N
cropped_1113_sperm_morph_270_resized_lr_ud.jpeg,N
cropped_1114_sperm_morph_270_resized_lr.jpeg,N
cropped_1115_sperm_morph_270_resized_ud.jpeg,N
cropped_1116_sperm_morph_270_resized_lr_ud.jpeg,N
cropped_1117_sperm_morph_270_resized_lr.jpeg,N
cropped_1118_sperm_morph_270_resized_ud.jpeg,N
cropped_1119_sperm_morph_270_resized_lr_ud.jpeg,N
cropped_1120_sperm_morph_271_resized_lr.jpeg,N
cropped_1121_sperm_morph_271_resized_ud.jpeg,N
cropped_1122_sperm_morph_271_resized_lr_ud.jpeg,N
cropped_1126_sperm_morph_272_resized_lr.jpeg,N
cropped_1127_sperm_morph_272_resized_ud.jpeg,N
cropped_1128_sperm_morph_272_resized_lr_ud.jpeg,N
cropped_1132_sperm_morph_273_resized_lr.jpeg,N
cropped_1133_sperm_morph_273_resized_ud.jpeg,N
cropped_1134_sperm_morph_273_resized_lr_ud.jpeg,N
cropped_1153_sperm_morph_277_resized_lr.jpeg,N
cropped_1154_sperm_morph_277_resized_ud.jpeg,N
cropped_1155_sperm_morph_277_resized_lr_ud.jpeg,N
cropped_1156_sperm_morph_277_resized_lr.jpeg,N
cropped_1157_sperm_morph_277_resized_ud.jpeg,N
cropped_1158_sperm_morph_277_resized_lr_ud.jpeg,N
cropped_1162_sperm_morph_278_resized_lr.jpeg,N
cropped_1163_sperm_morph_278_resized_ud.jpeg,N
cropped_1164_sperm_morph_278_resized_lr_ud.jpeg,N
cropped_1177_sperm_morph_280_resized_lr.jpeg,N
cropped_1178_sperm_morph_280_resized_ud.jpeg,N
cropped_1179_sperm_morph_280_resized_lr_ud.jpeg,N
cropped_1216_sperm_morph_288_resized_lr.jpeg,N
cropped_1217_sperm_morph_288_resized_ud.jpeg,N
cropped_1218_sperm_morph_288_resized_lr_ud.jpeg,N
cropped_1222_sperm_morph_289_resized_lr.jpeg,N
cropped_1223_sperm_morph_289_resized_ud.jpeg,N
cropped_1224_sperm_morph_289_resized_lr_ud.jpeg,N
cropped_1231_sperm_morph_291_resized_lr.jpeg,N
cropped_1232_sperm_morph_291_resized_ud.jpeg,N
cropped_1233_sperm_morph_291_resized_lr_ud.jpeg,N
cropped_1240_sperm_morph_293_resized_lr.jpeg,N
